    Similarity | DofusDB ID |                                               DofusDB Title |                                             DofusNoobs Title (-> DofusNoobs URL)
prefixOrSuffix |        310 |                                    les documents avant tout |          alignement 66 (partie 1) : les documents avant tout (-> https://www.dofuspourlesnoobs.com/les-documents-avant-tout.html)
prefixOrSuffix |        311 |                            les ordres sont-ils les ordres ? |  alignement 66 (partie 2) : les ordres sont-ils les ordres ? (-> https://www.dofuspourlesnoobs.com/les-ordres-sont-ils-les-ordres.html)
prefixOrSuffix |        312 |                                     on m'appelle l'escargot |           alignement 66 (partie 2) : on m'appelle l'escargot (-> https://www.dofuspourlesnoobs.com/on-m-appelle-l-escargot.html)
prefixOrSuffix |        321 |                                          un peu de juge hot |                          alignement 72  : un peu de juge hot (-> https://www.dofuspourlesnoobs.com/un-peu-de-juge-hot.html)
prefixOrSuffix |        587 |                                              crocs en jambe |                                              crocs en jambes (-> https://www.dofuspourlesnoobs.com/crocs-en-jambes.html)
prefixOrSuffix |        711 |                                                 la fatalité |                                       la fatalité (prologue) (-> https://www.dofuspourlesnoobs.com/la-fataliteacute-prologue.html)
prefixOrSuffix |       1515 |                                     reconnaissance de dette |                                     reconnaissance de dettes (-> https://www.dofuspourlesnoobs.com/reconnaissance-de-dettes.html)
prefixOrSuffix |       1669 |                                      squelettes et amulette |                                      squelettes et amulettes (-> https://www.dofuspourlesnoobs.com/squelettes-et-amulettes.html)
prefixOrSuffix |       2091 |                                         le monde à l'envers |                               le monde à l'envers (partie 1) (-> https://www.dofuspourlesnoobs.com/le-monde-a-l-envers-partie1.html)
prefixOrSuffix |       2488 |                            qui nous protège du protecteur ? |                  qui nous protège du protecteur ? (partie 1) (-> https://www.dofuspourlesnoobs.com/qui-nous-protege-du-protecteur.html)
